review,label,phrase,sentiment
"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..",9,Helpful Staff,positive
"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..",9,Informative Staff,positive
"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..",9,Clean Rooms,positive
"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..",9,Comfortable Rooms,positive
"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..",9,Convenient Location,positive
"Hotel the pearl is perfect place to stay in Delhi Paharganj. whole staff are very helpful, informative. Rooms are clean and comfortable. The hotel's location was very convenient, and we had a truly wonderful stay.. Most recommended..",9,Wonderful Stay,positive
Location of the hotel is perfect. The hotel is peaceful and nice. The staff is very kind and nice rooms. I recommend this hotel..,9,Perfect Location,positive
Location of the hotel is perfect. The hotel is peaceful and nice. The staff is very kind and nice rooms. I recommend this hotel..,9,Peaceful Hotel,positive
Location of the hotel is perfect. The hotel is peaceful and nice. The staff is very kind and nice rooms. I recommend this hotel..,9,Kind Staff,positive
Location of the hotel is perfect. The hotel is peaceful and nice. The staff is very kind and nice rooms. I recommend this hotel..,9,Nice Rooms,positive
"Location, Indian food.",9,Decent Location,positive
"Location, Indian food.",9,Indian Food,positive
"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them.",9,Great Location,positive
"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them.",9,Great Hotel,positive
"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them.",9,Nice Rooms,positive
"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them.",9,Comfortable Beds,positive
"The location and the hotel itself is great. Next time I will stay here. Nice rooms with comfortable beds. good attitude of staff, they are helpful and explain you everything you ask them.",9,Helpful Staff,positive
"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable..",9,Friendly Staff,positive
"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable..",9,Excellent Reception,positive
"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable..",9,Fantastic Location,positive
"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable..",9,Big Room,positive
"Friendly and smiling staffs.. The reception staff are so excellent and ready to help me any time, location is fantastic near all the attractions, room was big and comfortable..",9,Comfortable Room,positive
"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..",9,Perfect Location,positive
"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..",9,Enjoyable Hotel,positive
"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..",9,Clean Rooms,positive
"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..",9,Comfortable Rooms,positive
"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..",9,Awesome Breakfast,positive
"The location was really perfect.. we really enjoyed the hotel. Clean and comfortable rooms, awesome breakfast, great staff. Would totally recommend this hotel.. i really liked the place..",9,Great Staff,positive
"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..",9,Cosy Room,positive
"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..",9,Well Maintained Room,positive
"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..",9,Clean Bathroom,positive
"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..",9,Comfortable Bed,positive
"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..",9,Friendly Staff,positive
"Nice cosy room. well maintained and clean room, bathroom was cleaned and bad was comfortable. staffs were very friendly and service were excellent. Definitely will come back to stay here..",9,Excellent Service,positive
"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..",9,Amazing Experience,positive
"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..",9,Amazing Staff,positive
"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..",9,Friendly Staff,positive
"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..",9,Supportive Staff,positive
"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..",9,Awesome Room,positive
"We can say that we had an amazing experience. all the staff members are amazing, friendly, supportive. all good in this hotel. The room was actually awesome and wonderful service by the hotel management.. thanks for this best hospitality..",9,Wonderful Service,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,Lovable Hotel,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,Welcoming Staff,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,Friendly Staff,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,Awesome Food,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,Best Quality Food,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,Exceptional Service,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,No Issues,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,Satisfactory Results,positive
"We love the hotel, again come back to the hotel soon. the staff is very welcoming and friendly. food was awesome best quality, service was exceptional, there was absolutely no issue and satisfactory results.. Stay was great..",9,Great Stay,positive
Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!,8,Good Hotel,positive
Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!,8,Comfortable Stay,positive
Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!,8,Excellent Service,positive
Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!,8,Great Facilities,positive
Nice hotel with comfortable stay.. I would highly recommend it. the service from the staff was excellent and the facilities and breakfast were also great. i would stay here again!,8,Great Breakfast,positive
- I felt safe. - Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay. Great sense of service and you get what's shown/told  (which to be honest has been rarely the case in india from my own experience).,10,Feeling Safe,positive
- I felt safe. - Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay. Great sense of service and you get what's shown/told  (which to be honest has been rarely the case in india from my own experience).,10,Pleasant Staff,positive
- I felt safe. - Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay. Great sense of service and you get what's shown/told  (which to be honest has been rarely the case in india from my own experience).,10,Quick Response,positive
- I felt safe. - Staff has been pleasantly and quickly responsive before we came at the hotel as much as during the stay. Great sense of service and you get what's shown/told  (which to be honest has been rarely the case in india from my own experience).,10,Great Service,positive
It's good stay. Staff are very cooperative.  Good cleaning. Required variety in breakfast.,8,Good Stay,positive
It's good stay. Staff are very cooperative.  Good cleaning. Required variety in breakfast.,8,Cooperative Staff,positive
It's good stay. Staff are very cooperative.  Good cleaning. Required variety in breakfast.,8,Good Cleaning,positive
It's good stay. Staff are very cooperative.  Good cleaning. Required variety in breakfast.,8,Required Variety,positive
"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.",8,Good Breakfast,positive
"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.",8,Inconsistent Availability,positive
"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.",8,Excellent Food,positive
"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.",8,Tasty Food,positive
"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.",8,Helpful Reception,positive
"Breakfast was good, but we couldn't take it every day as we were out. Food other than bf was also excellent & tasty. The reception & staff are also very helpful and cooperative.",8,Cooperative Staff,positive
the staff was good and accommodating,7,Good Staff,neutral
the staff was good and accommodating,7,Accommodating Staff,neutral
It was very comfortable,8,Comfortable Stay,positive
staff service was good,6,Good Staff Service,neutral
The hotel staff is very good.,7,Good Hotel Staff,neutral
cleanliness,8,Cleanliness,positive
Good Experience,8,Good Experience,positive
Overall good with good helping staff. Immediately response when need. Hospitality is good towards the visitors.,8,Good Helping Staff,positive
Overall good with good helping staff. Immediately response when need. Hospitality is good towards the visitors.,8,Immediate Response,positive
Overall good with good helping staff. Immediately response when need. Hospitality is good towards the visitors.,8,Good Hospitality,positive
Zunaid was very helpful with service. He has been helpful on every trip and stay at White Klove. Front dest Azar is also very professional.,10,Helpful Service,positive
Zunaid was very helpful with service. He has been helpful on every trip and stay at White Klove. Front dest Azar is also very professional.,10,Helpful Zunaid,positive
Zunaid was very helpful with service. He has been helpful on every trip and stay at White Klove. Front dest Azar is also very professional.,10,Professional Azar,positive
It's just need little more cleaning in room,8,Needs More Cleaning,positive
Cleanliness and staff behaviour,7,Cleanliness,neutral
Cleanliness and staff behaviour,7,Good Staff Behaviour,neutral
"Large room, comfortable bed, great room service. Large washroom, great shower",8,Large Room,positive
"Large room, comfortable bed, great room service. Large washroom, great shower",8,Comfortable Bed,positive
